,molecule_chembl_id,canonical_smiles,classe_bioatividade,standard_value
3086,CHEMBL4754596,CCN1C[C@]2(COC)CC[C@H](O)[C@]34C5C[C@@H]6[C@@H](OC)C[C@@](O)(C5[C@H]6OC)[C@@](O)([C@H]13)[C@@H](OC)C24,Inactive,19952.62
3087,CHEMBL4779609,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C\[C@H](O)CCC[C@@H](C)C/C=C\[C@H]3[C@@H]1O,Inactive,20000.0
3088,CHEMBL4779609,C=C1[C@@H](C)[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]23OC(=O)/C=C\[C@H](O)CCC[C@@H](C)C/C=C\[C@H]3[C@@H]1O,Inactive,19952.62
3089,CHEMBL1166,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,Inactive,20000.0
3090,CHEMBL1166,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1,Inactive,19952.62
3091,CHEMBL25146,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,Inactive,20000.0
3092,CHEMBL25146,Nc1c(CC(=O)O)cccc1C(=O)c1ccccc1,Inactive,19952.62
3093,CHEMBL447,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,Inactive,20000.0
3094,CHEMBL447,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,Inactive,19952.62
3095,CHEMBL1712170,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Inactive,20000.0
3096,CHEMBL1712170,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,Inactive,19952.62
3097,CHEMBL1179523,C[C@H](C(=O)O)c1ccc2cc(OCc3ccc4ccccc4n3)ccc2c1,Inactive,20000.0
3098,CHEMBL1179523,C[C@H](C(=O)O)c1ccc2cc(OCc3ccc4ccccc4n3)ccc2c1,Inactive,19952.62
3099,CHEMBL1186579,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,Inactive,20000.0
3100,CHEMBL1186579,C[N+]1(CC2CC2)CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,Inactive,19952.62
3101,CHEMBL2104743,COc1ccc(F)cc1[C@H](C)NC(=O)Cc1ccc(S(=O)(=O)Nc2ncc(CC(C)C)cn2)cc1,Inactive,20000.0
3102,CHEMBL2104743,COc1ccc(F)cc1[C@H](C)NC(=O)Cc1ccc(S(=O)(=O)Nc2ncc(CC(C)C)cn2)cc1,Inactive,19952.62
3103,CHEMBL2105472,CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1,Inactive,20000.0
3104,CHEMBL2105472,CN1CCN(C2=Nc3cscc3/C(=C/C#N)c3cscc32)CC1,Inactive,19952.62
3105,CHEMBL1908363,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5nn(S(C)(=O)=O)cc5C[C@]4(C)[C@H]3CC[C@@]21C,Inactive,20000.0
3106,CHEMBL1908363,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5nn(S(C)(=O)=O)cc5C[C@]4(C)[C@H]3CC[C@@]21C,Inactive,19952.62
3107,CHEMBL52606,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,Inactive,20000.0
3108,CHEMBL52606,C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,Inactive,19952.62
3109,CHEMBL300138,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,Inactive,20000.0
3110,CHEMBL300138,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,Inactive,19952.62
3111,CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,Inactive,20000.0
3112,CHEMBL24828,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,Inactive,19952.62
3113,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,Inactive,20000.0
3114,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,Inactive,19952.62
3115,CHEMBL4781355,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,Inactive,20000.0
3116,CHEMBL4781355,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,Inactive,19952.62
3117,CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,Inactive,20000.0
3118,CHEMBL1444,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,Inactive,19952.62
3119,CHEMBL421215,O=C1C=CC(=O)c2c1ccc1c2ccc2ccccc21,Inactive,20000.0
3120,CHEMBL421215,O=C1C=CC(=O)c2c1ccc1c2ccc2ccccc21,Inactive,19952.62
3121,CHEMBL893,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Inactive,20000.0
3122,CHEMBL893,Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,Inactive,19952.62
3123,CHEMBL1594,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,Inactive,20000.0
3124,CHEMBL1594,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)O,Inactive,19952.62
3125,CHEMBL1200845,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,Inactive,20000.0
3126,CHEMBL1200845,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,Inactive,19952.62
3127,CHEMBL2165592,COc1cc(C(=O)OC2CC3CCC(C2)N3C)ccc1O,Inactive,20000.0
3128,CHEMBL2165592,COc1cc(C(=O)OC2CC3CCC(C2)N3C)ccc1O,Inactive,19952.62
3129,CHEMBL28318,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,Inactive,20000.0
3130,CHEMBL28318,Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,Inactive,19952.62
3131,CHEMBL1983100,O=C(CN1CCNCC1)NC1CCCCC1,Inactive,20000.0
